date,week,rank,player_name,association,points
2024/12/31,1,1,SUN Yingsha,CHN,9900
2024/12/31,1,2,WANG Manyu,CHN,8700
2024/12/31,1,3,WANG Yidi,CHN,5005
2024/12/31,1,4,CHEN Xingtong,CHN,3725
2024/12/31,1,5,Hina HAYATA,JPN,3363
2024/12/31,1,6,Miwa HARIMOTO,JPN,3305
2024/12/31,1,7,Satsuki ODO,JPN,2518
2024/12/31,1,8,CHENG I-Ching,TPE,2370
2024/12/31,1,9,SHIN Yubin,KOR,2310
2024/12/31,1,10,Mima ITO,JPN,2190
2024/12/31,1,11,QIAN Tianyi,CHN,2050
2024/12/31,1,12,Miu HIRANO,JPN,1753
2024/12/31,1,13,Bernadette SZOCS,ROU,1640
2024/12/31,1,14,Sofia POLCANOVA,AUT,1610
2024/12/31,1,15,Adriana DIAZ,PUR,1415
2024/12/31,1,16,JEON Jihee,KOR,1280
2024/12/31,1,17,Jia Nan YUAN,FRA,1175
2024/12/31,1,18,Bruna TAKAHASHI,BRA,1167
2024/12/31,1,19,Prithika PAVADE,FRA,1162
2024/12/31,1,20,SUH Hyo Won,KOR,1150
2024/12/31,1,21,Nina MITTELHAM,GER,1057
2024/12/31,1,22,Sreeja AKULA,IND,1010
2024/12/31,1,23,JOO Cheonhui,KOR,995
2024/12/31,1,24,Manika BATRA,IND,946
2024/12/31,1,25,Miyu NAGASAKI,JPN,940
2024/12/31,1,26,Dina MESHREF,EGY,935
2024/12/31,1,27,Hana GODA,EGY,903
2024/12/31,1,28,Xiaoxin YANG,MON,875
2024/12/31,1,29,Miyuu KIHARA,JPN,845
2024/12/31,1,30,Lily ZHANG,USA,835
2024/12/31,1,31,Honoka HASHIMOTO,JPN,830
2024/12/31,1,32,KIM Nayeong,KOR,810
2024/12/31,1,33,HUANG Yi-Hua,TPE,790
2024/12/31,1,34,DOO Hoi Kem,HKG,771
2024/12/31,1,35,HE Zhuojia,CHN,755
2024/12/31,1,36,FAN Siqi,CHN,750
2024/12/31,1,37,Sakura YOKOI,JPN,704
2024/12/31,1,38,Yangzi LIU,AUS,700
2024/12/31,1,39,CHEN Yi,CHN,694
2024/12/31,1,40,SHI Xunyao,CHN,670
2024/12/31,1,41,Sakura MORI,JPN,651
2024/12/31,1,42,Britt EERLAND,NED,648
2024/12/31,1,43,LEE Eunhye,KOR,635
2024/12/31,1,44,KUAI Man,CHN,634
2024/12/31,1,45,Mo ZHANG,CAN,610
2024/12/31,1,46,Minhyung JEE,AUS,607
2024/12/31,1,47,Orawan PARANANG,THA,595
2024/12/31,1,48,Elizabeta SAMARA,ROU,550
2024/12/31,1,49,Natalia BAJOR,POL,539
2024/12/31,1,50,Amy WANG,USA,535
2025/1/7,2,1,SUN Yingsha,CHN,9900
2025/1/7,2,2,WANG Manyu,CHN,8700
2025/1/7,2,3,WANG Yidi,CHN,5005
2025/1/7,2,4,CHEN Xingtong,CHN,3725
2025/1/7,2,5,Hina HAYATA,JPN,3363
2025/1/7,2,6,Miwa HARIMOTO,JPN,3305
2025/1/7,2,7,Satsuki ODO,JPN,2518
2025/1/7,2,8,CHENG I-Ching,TPE,2370
2025/1/7,2,9,SHIN Yubin,KOR,2310
2025/1/7,2,10,Mima ITO,JPN,2190
2025/1/7,2,11,QIAN Tianyi,CHN,2050
2025/1/7,2,12,Miu HIRANO,JPN,1753
2025/1/7,2,13,Bernadette SZOCS,ROU,1640
2025/1/7,2,14,Sofia POLCANOVA,AUT,1610
2025/1/7,2,15,Adriana DIAZ,PUR,1415
2025/1/7,2,16,JEON Jihee,KOR,1280
2025/1/7,2,17,Jia Nan YUAN,FRA,1175
2025/1/7,2,18,Bruna TAKAHASHI,BRA,1167
2025/1/7,2,19,Prithika PAVADE,FRA,1162
2025/1/7,2,20,SUH Hyo Won,KOR,1150
2025/1/7,2,21,Nina MITTELHAM,GER,1057
2025/1/7,2,22,Sreeja AKULA,IND,1010
2025/1/7,2,23,JOO Cheonhui,KOR,995
2025/1/7,2,24,Manika BATRA,IND,946
2025/1/7,2,25,Miyu NAGASAKI,JPN,940
2025/1/7,2,26,Dina MESHREF,EGY,935
2025/1/7,2,27,Hana GODA,EGY,903
2025/1/7,2,28,Xiaoxin YANG,MON,875
2025/1/7,2,29,Miyuu KIHARA,JPN,845
2025/1/7,2,30,Lily ZHANG,USA,835
2025/1/7,2,31,Honoka HASHIMOTO,JPN,830
2025/1/7,2,32,KIM Nayeong,KOR,810
2025/1/7,2,33,HUANG Yi-Hua,TPE,790
2025/1/7,2,34,DOO Hoi Kem,HKG,771
2025/1/7,2,35,HE Zhuojia,CHN,755
2025/1/7,2,36,FAN Siqi,CHN,750
2025/1/7,2,37,Sakura YOKOI,JPN,704
2025/1/7,2,38,Yangzi LIU,AUS,700
2025/1/7,2,39,CHEN Yi,CHN,694
2025/1/7,2,40,SHI Xunyao,CHN,670
2025/1/7,2,41,Sakura MORI,JPN,651
2025/1/7,2,42,Britt EERLAND,NED,648
2025/1/7,2,43,LEE Eunhye,KOR,635
2025/1/7,2,44,KUAI Man,CHN,634
2025/1/7,2,45,Mo ZHANG,CAN,610
2025/1/7,2,46,Minhyung JEE,AUS,607
2025/1/7,2,47,Orawan PARANANG,THA,595
2025/1/7,2,48,Elizabeta SAMARA,ROU,550
2025/1/7,2,49,Natalia BAJOR,POL,539
2025/1/7,2,50,Amy WANG,USA,535
2025/1/14,3,1,SUN Yingsha,CHN,9650
2025/1/14,3,2,WANG Manyu,CHN,8700
2025/1/14,3,3,WANG Yidi,CHN,5005
2025/1/14,3,4,CHEN Xingtong,CHN,3725
2025/1/14,3,5,Hina HAYATA,JPN,3363
2025/1/14,3,6,Miwa HARIMOTO,JPN,3305
2025/1/14,3,7,Satsuki ODO,JPN,2518
2025/1/14,3,8,CHENG I-Ching,TPE,2370
2025/1/14,3,9,SHIN Yubin,KOR,2310
2025/1/14,3,10,Mima ITO,JPN,2190
2025/1/14,3,11,QIAN Tianyi,CHN,1945
2025/1/14,3,12,Miu HIRANO,JPN,1753
2025/1/14,3,13,Bernadette SZOCS,ROU,1640
2025/1/14,3,14,Sofia POLCANOVA,AUT,1610
2025/1/14,3,15,Adriana DIAZ,PUR,1415
2025/1/14,3,16,JEON Jihee,KOR,1280
2025/1/14,3,17,Miyuu KIHARA,JPN,1245
2025/1/14,3,18,KUAI Man,CHN,1229
2025/1/14,3,19,Jia Nan YUAN,FRA,1175
2025/1/14,3,20,Bruna TAKAHASHI,BRA,1167
2025/1/14,3,21,Prithika PAVADE,FRA,1162
2025/1/14,3,22,SUH Hyo Won,KOR,1140
2025/1/14,3,23,Miyu NAGASAKI,JPN,1125
2025/1/14,3,24,Nina MITTELHAM,GER,1057
2025/1/14,3,25,Sreeja AKULA,IND,1045
2025/1/14,3,26,JOO Cheonhui,KOR,995
2025/1/14,3,27,Manika BATRA,IND,946
2025/1/14,3,28,Dina MESHREF,EGY,930
2025/1/14,3,29,CHEN Yi,CHN,904
2025/1/14,3,30,Hana GODA,EGY,903
2025/1/14,3,31,HE Zhuojia,CHN,860
2025/1/14,3,32,Xiaoxin YANG,MON,855
2025/1/14,3,33,Lily ZHANG,USA,835
2025/1/14,3,34,Honoka HASHIMOTO,JPN,830
2025/1/14,3,35,KIM Nayeong,KOR,810
2025/1/14,3,36,HUANG Yi-Hua,TPE,790
2025/1/14,3,37,SHI Xunyao,CHN,775
2025/1/14,3,38,DOO Hoi Kem,HKG,771
2025/1/14,3,39,FAN Siqi,CHN,750
2025/1/14,3,40,Sakura YOKOI,JPN,713
2025/1/14,3,41,Yangzi LIU,AUS,700
2025/1/14,3,42,Britt EERLAND,NED,688
2025/1/14,3,43,Sakura MORI,JPN,645
2025/1/14,3,44,LEE Eunhye,KOR,635
2025/1/14,3,45,Minhyung JEE,AUS,612
2025/1/14,3,46,Mo ZHANG,CAN,610
2025/1/14,3,47,Orawan PARANANG,THA,605
2025/1/14,3,48,Elizabeta SAMARA,ROU,545
2025/1/14,3,49,Natalia BAJOR,POL,539
2025/1/14,3,50,Amy WANG,USA,535
2025/1/21,4,1,SUN Yingsha,CHN,9650
2025/1/21,4,2,WANG Manyu,CHN,8700
2025/1/21,4,3,WANG Yidi,CHN,5005
2025/1/21,4,4,CHEN Xingtong,CHN,3725
2025/1/21,4,5,Hina HAYATA,JPN,3363
2025/1/21,4,6,Miwa HARIMOTO,JPN,3305
2025/1/21,4,7,Satsuki ODO,JPN,2533
2025/1/21,4,8,CHENG I-Ching,TPE,2370
2025/1/21,4,9,SHIN Yubin,KOR,2205
2025/1/21,4,10,Mima ITO,JPN,2190
2025/1/21,4,11,QIAN Tianyi,CHN,1945
2025/1/21,4,12,Miu HIRANO,JPN,1753
2025/1/21,4,13,Bernadette SZOCS,ROU,1640
2025/1/21,4,14,Sofia POLCANOVA,AUT,1610
2025/1/21,4,15,KUAI Man,CHN,1505
2025/1/21,4,16,Adriana DIAZ,PUR,1415
2025/1/21,4,17,Miyuu KIHARA,JPN,1245
2025/1/21,4,18,SHI Xunyao,CHN,1175
2025/1/21,4,19,Jia Nan YUAN,FRA,1175
2025/1/21,4,20,Prithika PAVADE,FRA,1162
2025/1/21,4,21,SUH Hyo Won,KOR,1140
2025/1/21,4,22,Miyu NAGASAKI,JPN,1125
2025/1/21,4,23,Nina MITTELHAM,GER,1057
2025/1/21,4,24,Bruna TAKAHASHI,BRA,1017
