date,week,rank,player_name,association,points
2023-01-03,1,1,SUN Yingsha,CHN,8270
2023-01-03,1,2,CHEN Meng,CHN,6715
2023-01-03,1,3,WANG Manyu,CHN,5250
2023-01-03,1,4,WANG Yidi,CHN,5175
2023-01-03,1,5,Hina HAYATA,JPN,2830
2023-01-03,1,6,Mima ITO,JPN,2765
2023-01-03,1,7,CHEN Xingtong,CHN,2255
2023-01-03,1,8,Kasumi ISHIKAWA,JPN,1890
2023-01-03,1,9,DOO Hoi Kem,HKG,1680
2023-01-03,1,10,Ying HAN,GER,1670
2023-01-03,1,11,Xiaoxin YANG,MON,1545
2023-01-03,1,12,Adriana DIAZ,PUR,1515
2023-01-03,1,13,Sofia POLCANOVA,AUT,1465
2023-01-03,1,14,Nina MITTELHAM,GER,1360
2023-01-03,1,15,Miyuu KIHARA,JPN,1290
2023-01-03,1,16,Jia Nan YUAN,FRA,1225
2023-01-03,1,17,Fu YU,POR,1210
2023-01-03,1,18,JEON Jihee,KOR,1135
2023-01-03,1,19,SHIN Yubin,KOR,1045
2023-01-03,1,20,Miu HIRANO,JPN,1045
2023-01-03,1,21,CHEN Szu-Yu,TPE,1025
2023-01-03,1,22,Lily ZHANG,USA,970
2023-01-03,1,23,Bruna TAKAHASHI,BRA,935
2023-01-03,1,24,Xiaona SHAN,GER,930
2023-01-03,1,25,Bernadette SZOCS,ROU,915
2023-01-03,1,26,Hana MATELOVA,CZE,895
2023-01-03,1,27,FAN Siqi,CHN,890
2023-01-03,1,28,Dina MESHREF,EGY,885
2023-01-03,1,29,CHENG I-Ching,TPE,885
2023-01-03,1,30,ZHANG Rui,CHN,862
2023-01-03,1,31,LIU Weishan,CHN,842
2023-01-03,1,32,Suthasini SAWETTABUT,THA,835
2023-01-03,1,33,Yangzi LIU,AUS,761
2023-01-03,1,34,KUAI Man,CHN,745
2023-01-03,1,35,Manika BATRA,IND,740
2023-01-03,1,36,Miyu NAGASAKI,JPN,695
2023-01-03,1,37,Hana GODA,EGY,685
2023-01-03,1,38,Xia Lian NI,LUX,680
2023-01-03,1,39,FENG Tianwei,SGP,675
2023-01-03,1,40,QIAN Tianyi,CHN,659
2023-01-03,1,41,Miwa HARIMOTO,JPN,633
2023-01-03,1,42,Margaryta PESOTSKA,UKR,590
2023-01-03,1,43,Minhyung JEE,AUS,583
2023-01-03,1,44,SUH Hyowon,KOR,575
2023-01-03,1,45,Elizabeta SAMARA,ROU,575
2023-01-03,1,46,Sabine WINTER,GER,570
2023-01-03,1,47,Mo ZHANG,CAN,569
2023-01-03,1,48,Barbora BALAZOVA,SVK,555
