date,week,rank,player_name,association,points
2021/1/5,1,1,CHEN Meng,CHN,15800
2021/1/5,1,2,SUN Yingsha,CHN,13120
2021/1/5,1,3,ITO Mima,JPN,12664
2021/1/5,1,4,WANG Manyu,CHN,11644
2021/1/5,1,5,DING Ning,CHN,10760
2021/1/5,1,6,ZHU Yuling,CHN,9780
2021/1/5,1,7,LIU Shiwen,CHN,9660
2021/1/5,1,8,CHENG I-Ching,TPE,9368
2021/1/5,1,9,ISHIKAWA Kasumi,JPN,8880
2021/1/5,1,10,WANG Yidi,CHN,8828
2021/1/5,1,11,HIRANO Miu,JPN,8556
2021/1/5,1,12,FENG Tianwei,SGP,8464
2021/1/5,1,13,CHEN Xingtong,CHN,8296
2021/1/5,1,14,DOO Hoi Kem,HKG,7488
2021/1/5,1,15,JEON Jihee,KOR,7312
2021/1/5,1,16,POLCANOVA Sofia,AUT,7168
2021/1/5,1,17,SATO Hitomi,JPN,7136
2021/1/5,1,18,DIAZ Adriana,PUR,7060
2021/1/5,1,19,SOLJA Petrissa,GER,6644
2021/1/5,1,20,HE Zhuojia,CHN,6604
2021/1/5,1,21,SUH Hyowon,KOR,6532
2021/1/5,1,22,HAN Ying,GER,6532
2021/1/5,1,23,KATO Miyu,JPN,6220
2021/1/5,1,24,QIAN Tianyi,CHN,6128
2021/1/5,1,25,CHEN Szu-Yu,TPE,5816
2021/1/5,1,26,SZOCS Bernadette,ROU,5808
2021/1/5,1,27,EERLAND Britt,NED,5668
2021/1/5,1,28,SOO Wai Yam Minnie,HKG,5544
2021/1/5,1,29,HAYATA Hina,JPN,5516
2021/1/5,1,30,ZHANG Lily,USA,5400
2021/1/5,1,31,WU Yue,USA,5184
2021/1/5,1,32,PESOTSKA Margaryta,UKR,5064
2021/1/5,1,33,LI Qian,POL,5056
2021/1/5,1,34,SAMARA Elizabeta,ROU,5036
2021/1/5,1,35,MESHREF Dina,EGY,4980
2021/1/5,1,36,HASHIMOTO Honoka,JPN,4944
2021/1/5,1,37,SHIBATA Saki,JPN,4920
2021/1/5,1,38,ZHANG Mo,CAN,4904
